countyfips,Area Type,Ownership,Industry,Annual Average Employment,Annual Total Wages,Total County Employment,Total County Wages,Employment Location Quotient,Wage Location Quotient
01001,County,Federal Government,"Total, all industries",731,33991800,87849,2704775865,0.3904689736437154,0.5897240730542315
01001,County,Local Government,"Total, all industries",15356,503670211,87849,2704775865,1.6511223933663985,1.7589478745794527
01001,County,Private,Construction,4050,131829997,87849,2704775865,0.9326396777690096,0.98600393147199
01001,County,Private,Education and health services,8210,211288093,87849,2704775865,0.6825157324366169,0.5704926749935002
01001,County,Private,Financial activities,3800,137569808,87849,2704775865,0.7320269818865117,0.8607403517794406
01001,County,Private,Goods-producing,16475,779275010,87849,2704775865,1.1676029866105906,1.7937671362818535
01001,County,Private,Information,412,20428897,87849,2704775865,0.21492756549289388,0.34613487721974123
01001,County,Private,Leisure and hospitality,12645,157159599,87849,2704775865,1.4364339468374807,0.5798468178916631
01001,County,Private,Manufacturing,10814,592526177,87849,2704775865,1.26571269488066,2.2524847124681884
01001,County,Private,Natural resources and mining,1614,54918836,87849,2704775865,1.3188555501694204,1.457540276242322
01001,County,Private,Other services,3353,61247536,87849,2704775865,1.139018961767296,0.675758569676335
01001,County,Private,Professional and business services,3552,131100313,87849,2704775865,0.30790459397791015,0.36910716853360565
01001,County,Private,Service-providing,51797,1260528308,87849,2704775865,0.8704288831679302,0.6879974517942024
01001,County,Private,"Total, all industries",68271,2039803318,87849,2704775865,0.9273739683490119,0.8999377512620141
01001,County,Private,"Trade, transportation, and utilities",19824,541734062,87849,2704775865,1.1693000559994902,1.0378303435652725
01001,County,State Government,"Total, all industries",3496,127310536,87849,2704775865,1.1428565996967543,1.3517307792614015
01001,County,Total Covered,"Total, all industries",87849,2704775865,87849,2704775865,1.0,1.0
01003,County,Federal Government,"Total, all industries",2589,129698668,477722,14537367562,0.2543096175496593,0.41865445867238993
01003,County,Local Government,"Total, all industries",57165,2068549848,477722,14537367562,1.130297982285997,1.3440586062513606
01003,County,Private,Construction,33263,1183077083,477722,14537367562,1.4085811131695651,1.646352992998493
01003,County,Private,Education and health services,55205,2125781430,477722,14537367562,0.8439359824944894,1.0679211048017068
01003,County,Private,Financial activities,30010,1083963189,477722,14537367562,1.0630925342925508,1.261853908891316
01003,County,Private,Goods-producing,75004,2782399470,477722,14537367562,0.9774977793829981,1.1916269228495457
01003,County,Private,Information,3513,132259119,477722,14537367562,0.33700367245292473,0.416938096963909
01003,County,Private,Leisure and hospitality,79242,1244014921,477722,14537367562,1.6553271379307395,0.853971676600174
01003,County,Private,Manufacturing,35830,1424244408,477722,14537367562,0.7711824885004449,1.007359171227139
01003,County,Private,Natural resources and mining,5912,175077979,477722,14537367562,0.888361454961281,0.8645224521288486
01003,County,Private,Other services,11648,289699816,477722,14537367562,0.7276295750324057,0.5946982642623255
01003,County,Private,Professional and business services,37020,1241737877,477722,14537367562,0.5901211857452219,0.6504653865389579
01003,County,Private,Service-providing,334685,9260935193,477722,14537367562,1.0342523483813952,0.9404475574985807
01003,County,Private,"Total, all industries",409689,12043334663,477722,14537367562,1.0233743335666607,0.9885905222063098
01003,County,Private,"Trade, transportation, and utilities",115733,3082620542,477722,14537367562,1.2553171807071917,1.09876748843242
01003,County,Private,Unclassified,0,0,477722,14537367562,0.0,0.0
01003,County,State Government,"Total, all industries",8280,295784383,477722,14537367562,0.4977511060940978,0.5843144247341335
01003,County,Total Covered,"Total, all industries",477722,14537367562,477722,14537367562,1.0,1.0
01005,County,Federal Government,"Total, all industries",493,21290755,79667,2324740935,0.290385169285516,0.4297565213566334
01005,County,Local Government,"Total, all industries",8722,247218675,79667,2324740935,1.0341311147856422,1.0044878727614042
01005,County,Private,Construction,1498,51819893,79667,2324740935,0.3803899523507028,0.45093883230617016
01005,County,Private,Education and health services,6392,180559735,79667,2324740935,0.5859554994311894,0.5672214914306668
01005,County,Private,Financial activities,2272,71792513,79667,2324740935,0.4826254041980396,0.5226186541935703
01005,County,Private,Goods-producing,32059,1007100187,79667,2324740935,2.505405948920649,2.6971475763584754
01005,County,Private,Information,267,10631636,79667,2324740935,0.15359055990959994,0.20958358350146408
